IssueID,RelatedPrID,IssueCategory,Participants,IsMPLF,SentimentScore
80858,[81035],Data bug,3,0,0.5555555555555556
80876,[80899],Version compatibility bug,7,0,0.8333333333333334
80948,[81330],Data bug,6,1,-0.2222222222222222
81018,[82737],Processor bug,3,1,0.6666666666666666
81039,[82860],Version compatibility bug,2,0,-0.3333333333333333
81106,[81418],Processor bug,4,0,0.4
81181,[81500],Code bug,2,0,-0.7142857142857143
81294,[81355],Code bug,3,0,1.6666666666666667
81393,[81449],Build bug,2,0,0.0
81423,[81424],Build bug,1,0,1.0
81557,[83121],Deployment bug,5,1,0.0
81610,[81951],Memory bug,1,1,2.0
81710,[81718],Code bug,2,0,0.3333333333333333
82031,[82678],Deployment bug,5,1,-0.125
82150,[82215],Data bug,3,1,1.0
82245,[82402],Code bug,2,0,2.6666666666666665
82330,81931,Deployment bug,5,1,0.2
82416,[82422],Data bug,2,1,0.3333333333333333
82457,[83391],Processor bug,5,1,0.3333333333333333
82492,[82495],Test bug,1,0,0.0
82531,[82650],Processor bug,2,1,0.0
82543,[83744],Processor bug,1,1,0.0
82566,[84928],Processor bug,2,1,0.5
82644,[81969],Data bug,3,1,0.7272727272727273
82832,[83174],Data bug,3,0,0.6666666666666666
82890,[83162],Test bug,4,0,0.0
82983,[83170],Data bug,3,0,0.3333333333333333
83069,[83158],Data bug,4,1,0.7272727272727273
83090,[84974],Code bug,4,0,-0.3333333333333333
83093,83853,Code bug,4,0,0.42857142857142855
83142,[83639],Algorithm design bug,1,1,1.5
83160,[84996],Algorithm design bug,3,1,1.625
83224,[83553],Algorithm design bug,3,1,0.8
83314,[83350],Processor bug,4,1,-0.2
83363,[84772],Documentation bug,1,0,3.0
83533,[84850],Deployment bug,3,0,1.4444444444444444
83576,[83645],Test bug,1,1,0.0
83594,[83620],Processor bug,1,0,3.0
83600,83599,Deployment bug,3,1,0.18181818181818182
83647,84149,Deployment bug,1,0,0.0
83674,[83683],Build bug,1,0,1.0
83791,[83985],Data bug,3,0,0.2
83856,[83886],Code bug,1,0,-3.0
83887,[83959],Build bug,1,0,0.0
83972,[85222],Documentation bug,2,0,1.5
84092,[85665],Deployment bug,4,1,0.3
84144,[84182],Processor bug,1,1,1.0
84223,[84302],Deployment bug,2,0,1.3333333333333333
84244,[84503],Performance bug,1,0,2.0
84351,[84361],Build bug,1,1,0.0
84507,[84508],Code bug,1,0,3.0
84511,[85283],Algorithm design bug,5,1,0.8571428571428571
84525,84664,Processor bug,2,0,0.0
84591,85752,Processor bug,1,1,0.0
84618,[84799],Algorithm design bug,4,0,0.5
84745,[84744],Test bug,1,0,5.0
84873,[85779],Deployment bug,1,0,0.0
84930,[84960],Data bug,4,1,0.3333333333333333
84995,[85016],Processor bug,2,1,0.25
84999,[85240],Data bug,2,1,-1.0
85006,[85054],Build bug,3,0,0.0
85007,[85086],Build bug,1,0,1.0
85111,[85248],Algorithm design bug,7,1,1.5555555555555556
85218,[85278],Data bug,1,1,0.0
85237,[85304],Data bug,2,1,-1.6666666666666667
85404,[85467],Data bug,4,0,0.16666666666666666
85452,[85460],Data bug,5,0,0.8787878787878788
85777,85881,Data bug,1,1,1.0
85956,[86054],Build bug,4,0,-0.2857142857142857
85967,[86056],Processor bug,4,1,0.2
